customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4675-UWXN,Male,0,Yes,Yes,59,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,One year,Yes,Electronic check,41.91,7637.29,Yes
3757-YLQC,Male,1,Yes,No,32,No,No phone service,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),42.3,697.41,No
7669-QMZF,Female,1,Yes,No,29,No,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,64.3,2170.57,Yes
1919-BNVR,Male,0,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),41.0,6259.9,Yes
0855-WDBJ,Male,1,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Electronic check,105.66,929.25,No
1809-JGBY,Male,1,Yes,Yes,6,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,67.4,8437.01,No
4568-SQLD,Male,1,No,Yes,36,No,Yes,No,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,33.39,6369.23,No
3335-LSWJ,Male,1,Yes,No,6,No,Yes,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,102.27,2337.31,Yes
8351-GFVV,Female,1,Yes,Yes,15,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.73,4145.59,Yes
3143-AOQA,Male,0,Yes,Yes,43,Yes,No phone service,No,No,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,60.6,8345.85,Yes
4298-WHKA,Female,0,Yes,Yes,15,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),66.16,1945.5,No
3533-KEOG,Female,1,No,No,14,No,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Credit card (automatic),55.46,1407.35,No
5153-MABX,Male,0,Yes,Yes,8,No,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.5,2300.22,No
0419-WMET,Male,1,Yes,Yes,38,No,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,33.63,5102.48,No
1833-CLTQ,Female,0,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,117.25,3506.13,No
1958-DMLW,Male,0,Yes,Yes,5,No,No,No,No internet service,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),56.47,8057.44,Yes
8007-MNCR,Male,0,No,Yes,49,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,45.19,2810.62,Yes
0840-BZXL,Female,0,No,Yes,63,Yes,No,No,No internet service,Yes,Yes,No,Yes,No,One year,No,Mailed check,33.19,7756.44,No
2995-YJDA,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,81.81,7318.11,No
9353-OTXW,Female,0,Yes,No,15,No,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,No,Mailed check,109.45,3028.66,No
6142-UGBH,Male,1,Yes,No,46,No,Yes,DSL,No,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),18.71,7754.32,No
2310-CING,Male,0,Yes,No,24,Yes,No,No,Yes,Yes,No,Yes,No internet service,No,One year,No,Mailed check,20.93,7997.42,Yes
2796-QBGS,Male,0,Yes,No,25,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),102.91,1077.16,Yes
8753-YXHD,Male,0,Yes,No,43,No,No,DSL,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),79.99,2956.72,Yes
3926-UJWM,Male,1,No,Yes,68,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),87.24,1380.37,No
1795-INPY,Female,1,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.07,4502.16,No
5249-RBCE,Male,0,Yes,No,63,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,36.13,5339.49,Yes
3687-VSEA,Male,1,No,Yes,36,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,76.32,1574.85,No
8691-BLKK,Male,0,No,No,43,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Two year,Yes,Mailed check,51.51,7516.75,Yes
4070-ICEQ,Male,1,No,Yes,33,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,33.98,3041.53,Yes
1195-RJJA,Male,1,No,No,40,No,No,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),103.6,8134.2,Yes
4700-SOGY,Female,0,No,No,54,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,83.56,5799.46,No
4307-QBQN,Female,1,Yes,Yes,29,Yes,No,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,66.83,5767.34,No
7503-RZPO,Female,1,No,No,28,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),103.32,4309.59,Yes
5997-NQKP,Female,1,No,Yes,63,No,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Electronic check,40.42,2390.06,No
5998-LFBI,Male,1,No,No,49,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),102.6,1346.64,No
9087-OWSA,Male,1,Yes,Yes,11,No,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Two year,No,Electronic check,21.56,107.05,Yes
6777-ETOR,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.89,8225.45,No
4037-VQPQ,Female,1,Yes,No,25,No,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Mailed check,59.8,3792.01,No
2251-DILY,Male,0,No,No,58,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Mailed check,89.3,899.24,No
0024-FXEC,Male,1,Yes,No,34,Yes,Yes,No,Yes,No,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),57.26,6746.31,No
4910-JBAF,Female,1,Yes,No,24,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,108.6,7673.17,No
6690-WMWV,Male,0,Yes,Yes,20,No,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),108.02,1262.57,Yes
1118-ETIP,Male,0,No,Yes,67,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),95.51,4513.96,No
1678-UTDX,Female,1,No,Yes,48,No,No,DSL,No internet service,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),74.36,6658.46,Yes
4251-PCIR,Female,0,Yes,Yes,30,Yes,No phone service,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,28.07,3586.46,Yes
8933-REPC,Female,0,No,Yes,46,Yes,Yes,No,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),18.8,2669.55,No
9721-DMFM,Male,1,No,Yes,64,No,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),109.54,5485.94,Yes
2079-UGAH,Female,1,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,52.69,6552.87,Yes
0786-OGQG,Male,1,Yes,Yes,3,Yes,No phone service,No,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),116.61,6369.02,No
8233-YYHK,Male,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,93.94,3838.8,No
4213-RBUL,Male,0,No,No,24,No,No phone service,No,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,100.65,7158.99,Yes
8432-WGOY,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),68.06,8386.89,No
4621-WVBH,Male,0,No,No,59,No,Yes,No,Yes,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),101.29,7843.05,No
5475-IAIA,Male,1,No,No,33,No,No,No,No,No,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,54.56,6759.97,No
8946-CMZM,Female,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,87.65,571.53,No
6933-SFCO,Male,0,Yes,No,22,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,26.11,5449.1,No
4540-LJSW,Female,0,No,No,66,No,No,Fiber optic,No,No,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),36.04,7334.35,Yes
7818-PDJB,Male,1,Yes,No,51,Yes,No phone service,DSL,No internet service,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.61,3700.17,No
3237-MRHP,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),37.9,4959.35,No
1662-HRKG,Male,0,Yes,No,39,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),26.44,5005.5,Yes
6630-WUCO,Female,0,No,No,14,No,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),22.9,7039.13,No
1365-WOOQ,Female,1,No,Yes,14,Yes,No,No,Yes,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),98.39,3575.12,No
2503-EMIY,Male,1,Yes,No,62,Yes,No phone service,No,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,35.84,2007.17,No
7878-XGVV,Male,1,Yes,No,57,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.47,5573.02,Yes
0476-MLFJ,Male,0,No,Yes,39,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),19.21,4742.05,Yes
4404-DTLL,Male,1,No,Yes,38,No,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.02,5658.93,Yes
5591-NQAW,Female,1,No,No,13,No,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),63.8,6479.91,No
5315-OTCN,Male,0,Yes,No,63,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,26.43,128.25,No
5947-WNTF,Female,0,Yes,No,72,No,Yes,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Mailed check,109.75,2694.69,No
4671-AWTR,Female,0,No,No,30,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.46,4883.17,Yes
8547-NNUK,Female,1,Yes,No,17,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),80.07,5049.39,Yes
5938-TJIP,Female,1,No,Yes,24,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.14,4722.53,No
3685-OSKM,Male,0,Yes,Yes,8,No,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.25,518.6,No
2545-OEVV,Female,1,Yes,Yes,21,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),36.43,1165.09,Yes
6151-QRHA,Male,0,Yes,No,11,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,22.75,1375.28,No
8596-UOIX,Female,0,No,No,5,No,No,No,Yes,Yes,No internet service,No,No,Yes,One year,No,Mailed check,93.34,8428.66,Yes
0692-FTAL,Female,0,No,Yes,49,Yes,No phone service,No,No,No internet service,No,No internet service,No,No,Two year,Yes,Credit card (automatic),78.88,2678.03,Yes
1787-DSVQ,Male,1,Yes,No,16,No,Yes,DSL,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.83,6666.75,No
2154-TUIB,Male,0,No,No,31,Yes,Yes,No,No,No,No,No,No,No internet service,One year,No,Mailed check,23.49,1762.29,Yes
1115-VWOT,Female,0,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Credit card (automatic),33.53,7585.21,Yes
7591-CHUQ,Male,0,Yes,No,13,Yes,No phone service,No,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,58.26,2487.11,No
2552-TMKS,Female,0,Yes,No,9,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.45,6096.1,Yes
1415-NXPJ,Female,0,No,No,13,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),100.9,2873.59,No
0901-TUSQ,Female,1,Yes,No,55,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,80.71,6856.0,No
5587-LVUQ,Female,1,Yes,No,49,No,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,103.36,4520.81,No
